test_error_NDR,test_error_pureMLP
825.3590087890625,1089.2669677734375
1188.1732177734375,514.1673583984375
1043.3634033203125,376.763916015625
651.724365234375,309.2008361816406
579.9766845703125,288.1985778808594
343.3307189941406,493.6396484375
744.7586059570312,869.2374877929688
560.8698120117188,393.7583923339844
936.9537353515625,721.4422607421875
326.3062744140625,441.1955261230469
643.4194946289062,557.8604736328125
493.8875427246094,344.695556640625
626.5744018554688,510.3648681640625
1179.4715576171875,519.3960571289062
746.6303100585938,416.5032043457031
508.3927307128906,704.8652954101562
622.1641845703125,536.7079467773438
1346.4925537109375,499.9852600097656
807.9232177734375,542.9979248046875
338.14385986328125,512.1953125
1334.0552978515625,871.01513671875
773.47314453125,421.52886962890625
1130.19482421875,543.1708374023438
1018.3012084960938,979.1542358398438
836.6348876953125,649.7073974609375
878.7566528320312,384.9101257324219
1199.194091796875,593.0009155273438
582.51220703125,517.5726928710938
801.14208984375,1171.8779296875
1290.62060546875,808.165771484375
875.9452514648438,420.997314453125
2093.6650390625,630.43017578125
830.2216186523438,591.8495483398438
626.4014892578125,439.7631530761719
770.4349365234375,1759.5904541015625
1568.761962890625,253.09823608398438
673.727294921875,600.0723876953125
743.5770263671875,687.6964111328125
1065.11572265625,537.935302734375
316.8865051269531,347.34222412109375
272.96234130859375,373.076416015625
882.3555908203125,542.9097290039062
953.0761108398438,584.2750244140625
825.862548828125,492.576171875
1191.780517578125,641.9639282226562
625.1180419921875,584.88037109375
1275.796142578125,587.8533325195312
599.1033935546875,891.7183837890625
1106.248046875,987.2946166992188
458.11370849609375,344.01544189453125
716.8787231445312,1029.0142822265625
368.45428466796875,314.8791809082031
1337.536376953125,489.9940185546875
1578.2705078125,633.9533081054688
980.0982666015625,705.3604125976562
625.68798828125,1360.77197265625
338.61199951171875,442.1773681640625
465.1500244140625,394.2496643066406
786.065185546875,422.5198669433594
733.2396240234375,531.1071166992188
430.68609619140625,401.60394287109375
726.061767578125,506.1983642578125
1039.309326171875,1351.028076171875
874.3399658203125,553.5452880859375
662.6144409179688,409.9540710449219
1056.3524169921875,931.5231323242188
1179.2801513671875,1427.57470703125
830.4200439453125,449.0800476074219
412.1795654296875,406.3434143066406
692.418212890625,639.5904541015625
379.7559814453125,391.6229248046875
550.3206176757812,452.2037353515625
716.2669677734375,582.0281982421875
831.808349609375,394.17041015625
790.0311279296875,368.3070068359375
355.30596923828125,610.232421875
2190.31103515625,2915.00048828125
1000.4536743164062,683.8526611328125
1126.798828125,492.2232666015625
613.2329711914062,399.615966796875
776.6461181640625,478.4286193847656
739.7816162109375,810.8491821289062
451.288330078125,326.0320129394531
520.9082641601562,433.9314270019531
599.4232177734375,542.2759399414062
655.8909912109375,496.43310546875
911.8667602539062,904.9661254882812
657.5330810546875,539.6668701171875
397.7333068847656,702.4053955078125
687.5201416015625,442.04193115234375
473.37847900390625,753.5204467773438
751.0909423828125,380.7955322265625
790.60888671875,522.69384765625
735.0726928710938,486.0725402832031
555.8794555664062,393.5516052246094
1057.1304931640625,1015.7186889648438
645.7027587890625,495.5534973144531
506.14117431640625,446.5745544433594
384.04766845703125,227.29234313964844
986.015380859375,371.2373046875
1162.8486328125,614.8678588867188
464.0537414550781,327.6785888671875
1122.317626953125,625.3682861328125
630.4517211914062,496.54443359375
679.010498046875,396.0263977050781
629.9425048828125,521.7080078125
790.3106689453125,901.003662109375
610.8431396484375,591.3580322265625
451.18212890625,846.0980224609375
1247.521240234375,368.16461181640625
905.8297729492188,331.2798767089844
1630.5904541015625,1091.196533203125
917.4721069335938,528.0147705078125
918.9683227539062,752.2017822265625
734.211669921875,437.451416015625
860.2705688476562,431.78704833984375
608.0635986328125,673.7861328125
1159.1116943359375,380.3811340332031
741.8936157226562,357.5597839355469
1247.2137451171875,650.6869506835938
529.1412353515625,502.4012756347656
832.3176879882812,447.588623046875
863.0457153320312,497.0137023925781
1518.41748046875,907.215087890625
454.99114990234375,371.09405517578125
555.2891235351562,554.137939453125
962.7368774414062,597.7888793945312
257.0604553222656,530.0514526367188
689.6185302734375,966.6604614257812
1086.025634765625,562.2315063476562
979.1856079101562,1264.6534423828125
960.8001708984375,889.0595703125
638.7506713867188,473.8656921386719
834.6889038085938,712.8923950195312
851.3580932617188,652.4715576171875
737.4380493164062,369.822265625
1010.380126953125,495.77166748046875
465.85113525390625,586.3860473632812
901.4744873046875,474.0828857421875
1071.2431640625,731.5936889648438
3038.08349609375,537.6016235351562
1396.5316162109375,332.21331787109375
490.720458984375,1662.886962890625
911.1110229492188,382.45196533203125
951.1813354492188,716.3807373046875
457.5006103515625,536.662353515625
955.256591796875,631.2910766601562
696.9797973632812,464.3348693847656
623.4754638671875,652.5194091796875
1270.2764892578125,1385.607666015625
1322.3707275390625,360.6654968261719
530.6444091796875,349.86865234375
948.2891235351562,719.6076049804688
504.0854187011719,572.5792846679688
533.53173828125,336.4300537109375
1257.4056396484375,865.5410766601562
986.4225463867188,563.6442260742188
1462.7774658203125,695.1813354492188
489.94000244140625,656.5191650390625
1449.78466796875,396.8149108886719
788.014892578125,675.7058715820312
641.715576171875,389.3168029785156
788.7410888671875,1044.83154296875
1265.7877197265625,478.5556335449219
911.1969604492188,544.2745971679688
706.8245849609375,755.2427978515625
452.9451599121094,296.8619079589844
561.6535034179688,461.8948974609375
642.0865478515625,546.5633544921875
599.678466796875,499.87353515625
580.5614624023438,623.5410766601562
768.4697875976562,554.3731079101562
752.6490478515625,449.22918701171875
635.53515625,501.5130310058594
701.0291748046875,531.5692138671875
951.8914794921875,466.0552978515625
1225.4072265625,658.3554077148438
598.7761840820312,642.3023681640625
633.72998046875,418.29193115234375
630.997314453125,307.35174560546875
1292.78271484375,708.2752075195312
815.6421508789062,405.90460205078125
338.4493408203125,547.3857421875
438.6950378417969,568.0408935546875
808.233642578125,460.30621337890625
749.45947265625,436.96649169921875
487.1369323730469,409.882080078125
595.9566650390625,457.7754821777344
347.6355285644531,264.5451354980469
660.17822265625,332.70709228515625
1037.7901611328125,361.3174133300781
666.2940673828125,458.9413146972656
896.653564453125,431.56304931640625
484.42218017578125,318.5228271484375
1586.421142578125,369.3934020996094
673.5543823242188,557.227783203125
1375.4090576171875,651.9834594726562
528.2587280273438,504.62091064453125
616.1739501953125,376.87213134765625
774.1904296875,517.0773315429688
934.9735107421875,351.14324951171875
553.0040283203125,588.4920654296875
667.00537109375,351.7328796386719
429.111572265625,494.45404052734375
799.16455078125,583.4390869140625
625.8081665039062,327.97137451171875
565.8665771484375,319.61981201171875
677.4916381835938,526.8785400390625
479.99658203125,371.6023254394531
705.4923706054688,532.0045166015625
862.588623046875,966.0955810546875
1187.3375244140625,626.5760498046875
456.454345703125,495.613037109375
585.7982177734375,459.37744140625
661.0784912109375,782.8712158203125
402.1943359375,530.8126220703125
432.5426025390625,515.0408935546875
457.4395446777344,345.16412353515625
415.3861083984375,1149.942138671875
